CSV File,Question,Answer
question_answer_v2\About.csv,What is the IEEE Global Communications Conference (GLOBECOM)?,It's one of the IEEE Communications Society's flagship conferences dedicated to innovation in communications.
question_answer_v2\About.csv,How many researchers typically submit proposals for the IEEE GLOBECOM?,More than 3000 scientific researchers and their management.
question_answer_v2\About.csv,What is the location and date for IEEE GLOBECOM 2023?,"Kuala Lumpur, Malaysia, from 4 to 8 December 2023."
question_answer_v2\About.csv,What is the theme of IEEE GLOBECOM 2023?,Intelligent Communications for Shared Prosperity
question_answer_v2\About.csv,How many symposia are featured at IEEE GLOBECOM 2023?,13 symposia.
question_answer_v2\About.csv,What does IEEE stand for?,"Institute of Electrical and Electronics Engineers, Inc."
question_answer_v2\About.csv,How many members does IEEE have?,"Over 400,000 members in 150 countries."
question_answer_v2\About.csv,"What percentage of the world's electrical, electronics engineering, and computer science literature does IEEE publish?",30 percent.
question_answer_v2\About.csv,How many active industry standards has IEEE developed?,Nearly 900 active industry standards.
question_answer_v2\About.csv,How many conferences does IEEE sponsor annually?,More than 850 conferences worldwide.
question_answer_v2\About.csv,What is the IEEE Communications Society (ComSoc)?,A leading global community focused on advancing all communications and networking technologies.
question_answer_v2\About.csv,How many members does IEEE ComSoc have?,"About 27,000 members"
question_answer_v2\About.csv,What are some emerging areas IEEE ComSoc is focusing on?,"5G, SDN, IoT, Fog Computing, Big Data, Green ICT, fiber optics, etc."
question_answer_v2\Author.csv,What is the focus of the 2023 IEEE Global Communications Conference?,The conference will focus on the latest research and innovation in communication technologies.
question_answer_v2\Author.csv,What are the main components of the technical program at GLOBECOM 2023?,"The technical program includes symposia, tutorials, and workshops."
question_answer_v2\Author.csv,How can I contribute to the technical program of GLOBECOM 2023?,"You can contribute by submitting a symposium paper, a workshop paper, a workshop proposal, or a tutorial proposal."
question_answer_v2\Author.csv,What does the industry program at GLOBECOM 2023 offer to industry professionals?,"It offers opportunities to share and learn about the latest ideas, trends, and product innovations in communications and networking, and to connect with peers and industry leaders."
question_answer_v2\Author.csv,How can I get involved in the industry program at GLOBECOM 2023?,"You can get involved by seeking information on Executive Forums, submitting Panel or Demo proposals, or getting information on Industry Presentations and Podium Pitches."
question_answer_v2\Author.csv,What types of papers can be submitted to the symposia at GLOBECOM 2023?,Symposium papers related to communication technologies can be submitted.
question_answer_v2\Author.csv,Is it possible for me to propose a topic for a workshop at GLOBECOM 2023?,"Yes, you can submit a workshop proposal."
question_answer_v2\Author.csv,Are there opportunities for learning at GLOBECOM 2023?,"Yes, there are tutorials and workshops for learning opportunities."
question_answer_v2\Author.csv,What kind of proposals can be submitted for the industry program at GLOBECOM 2023?,Panel and Demo proposals can be submitted.
question_answer_v2\Author.csv,Is there a platform for industry leaders to present at GLOBECOM 2023?,"Yes, there are Executive Forums and Podium Pitches for industry leaders to present."
question_answer_v2\Author.csv,Does GLOBECOM 2023 provide information about new products in the communication and networking industries?,"Yes, the industry program includes presentations on new ideas, trends, and product innovations."
question_answer_v2\Author.csv,What is the date of the 2023 IEEE Global Communications Conference?,"The 2023 IEEE Global Communications Conference is scheduled to take place from December 4th to December 8th, 2023."
question_answer_v2\Author.csv,Where is GLOBECOM 2023 being held?,"GLOBECOM 2023 will be held in Kuala Lumpur, Malaysia. The conference will take place from December 4 to December 8, 2023. Kuala Lumpur is a vibrant city known for its rich cultural heritage, modern infrastructure, and diverse culinary scene. It serves as an excellent location for the conference, providing a conducive environment for networking, knowledge sharing, and exploring the latest advancements in global communications."
question_answer_v2\Author.csv,What is the deadline for submitting symposium papers to GLOBECOM 2023?,"The deadline for submitting symposium papers to GLOBECOM 2023 is May 21, 2023, at 23:59 EDT."
question_answer_v2\Author.csv,Who can submit proposals for panels and demos in the industry program of GLOBECOM 2023?,"Industry professionals, researchers, and practitioners in communication technologies can submit these proposals."
question_answer_v2\Author.csv,Do participants have the opportunity to network with industry leaders at GLOBECOM 2023?,"Yes, the conference provides opportunities to connect with peers and industry leaders."
question_answer_v2\Author.csv,Are there any special events for networking at GLOBECOM 2023?,"Special networking events are not detailed, but the conference includes forums and presentations which may offer networking opportunities."
question_answer_v2\Author_call For Demo Proposal.csv,What is expected in the demonstrations?,To show novel technologies and their application
question_answer_v2\Author_call For Demo Proposal.csv,Where will the exhibition booths be located?,In the main hall where coffee breaks will be held
question_answer_v2\Author_call For Demo Proposal.csv,What is the purpose of having someone at the exhibition booths?,To present and address attendees
question_answer_v2\Author_call For Demo Proposal.csv,Where can the terms for organizing a exhibition booth be found?,On the conference website
question_answer_v2\Author_call For Demo Proposal.csv,What will happen if the demo proposal is accepted?,The public information in it will be used to advertise on the conference website
question_answer_v2\Author_call For Demo Proposal.csv,How should demo proposals be submitted?,Via email to m.mansor@ukm.edu.my
question_answer_v2\Author_call For Demo Proposal.csv,What will be the role of the person present at the demo exhibition booths?,To present and address attendees
question_answer_v2\Author_call For Demo Proposal.csv,Where can one find more information about organising an demo exhibition booth?,Conference website
question_answer_v2\Author_call For Demo Proposal.csv,What is the final date to submit demo proposals for the conference?,"October 27th, 2023"
question_answer_v2\Author_call For Demo Proposal.csv,How can demo proposals be submitted?,Via email
question_answer_v2\Author_call For Demo Proposal.csv,What email address should demo proposals be sent to?,m.mansor@ukm.edu.my
question_answer_v2\Author_Call For Industry Panels.csv,What is the goal of a Industry Panel at the conference?,To bring together Speakers from industry and academia to discuss a timely and relevant topic of interest to conference participants.
question_answer_v2\Author_Call For Industry Panels.csv,Who should the Moderator's information be sent to for a Industry Panel proposal?,Industry Forums & Exhibitions Chairs at gc2023-industry-panels@comsoc.org.
question_answer_v2\Author_Call For Industry Panels.csv,What is the deadline for submission of Industry Panel proposals?,30 June 2023.
question_answer_v2\Author_Call For Industry Panels.csv,When will notifications on the acceptance of Industry Panel proposals be sent?,31 July 2023.
question_answer_v2\Author_Call For Industry Panels.csv,What is the deadline for confirmation of all speakers for the Industry Panel?,18 September 2023.
question_answer_v2\Author_Call For Industry Panels.csv,What is the deadline for final full information for the Industry Panel?,2 October 2023.
question_answer_v2\Author_Call For Industry Panels.csv,What is the maximum number of speakers allowed in a Industry Panel?,"No more than 4 Speakers, with a maximum of 5, plus the Moderator."
question_answer_v2\Author_Call For Industry Panels.csv,How many Moderators should there be in a Industry Panel?,Only 1 Moderator.
question_answer_v2\Author_Call For Industry Panels.csv,What is required of the Organiser in terms of questions for the Industry Panel?,The Organiser has to establish a few questions to be addressed by Speakers.
question_answer_v2\Author_Call For Industry Panels.csv,How long should the Moderator's introduction presentation be in Industry Panel?,10 minutes.
question_answer_v2\Author_Call For Industry Panels.csv,What is the recommended structure for each Speaker's presentation in the Industry Panel?,"10-minute presentation each, consisting of 6 slides (the cover slide plus one per question)."
question_answer_v2\Author_Call For Industry Panels.csv,What is the expected mode of participation for Moderator and Speakers at the Industry Panel ?,In-person attendance is expected for both Moderator and Speakers.
question_answer_v2\Author_Call For Industry Panels.csv,How many Speakers are allowed to participate remotely in Industry Panel?,A maximum of 1 Speaker (not the Moderator) is allowed to participate remotely.
question_answer_v2\Author_Call For Industry Panels.csv,What are the guidelines for presentations by Moderators and Speakers?,Presentations should be uploaded to a local computer prior to the session and given live.
question_answer_v2\Author_Call For Industry Panels.csv,When will Industry Panels be held during the conference?,"During the conference programme, in parallel to other technical sessions, including industry ones."
question_answer_v2\Author_Call For Industry Panels.csv,What is the duration of a Industry Panel?,1 hour and 30 minutes.
question_answer_v2\Author_Call For Industry Panels.csv,What information about the Industry Panel will be made public?,"Moderator's Name, Institution, CV, Panel Title, Motivation and Context, Questions, Speakers List, Speakers' CV, and Speakers' Photo."
question_answer_v2\Author_Call For Industry Panels.csv,What criteria are used for evaluating and ranking Industry Panel proposals?,"Relevance, Timeliness, Technical Content, Novelty, and Overall Recommendation."
question_answer_v2\Author_Call For Industry Panels.csv,Who will conduct the evaluation of Industry Panel proposals?,Panels Co-Chairs.
question_answer_v2\Author_Call For Industry Panels.csv,What registration benefits are available for the Industry Panel Moderator and Speakers for one-day attendance?,Complimentary One Day Registration.
question_answer_v2\Author_Call For Industry Panels.csv,What registration benefits are available if the Industry Panel Moderator and Speakers attend beyond the day of the Industry Panel?,A discount on the Full Registration.
question_answer_v2\Author_Call For Symposium Papers.csv,What is the theme of the 2023 IEEE Global Communications Conference?,Intelligent Communications for Shared Prosperity
question_answer_v2\Author_Call For Symposium Papers.csv,Where is the 2023 IEEE GLOBECOM being held?,"Kuala Lumpur, Malaysia"
question_answer_v2\Author_Call For Symposium Papers.csv,When will the 2023 IEEE GLOBECOM take place?,"December 4th to 8th, 2023"
question_answer_v2\Author_Call For Symposium Papers.csv,How many symposia are included in the 2023 IEEE GLOBECOM technical program?,13
question_answer_v2\Author_Call For Symposium Papers.csv,What types of events will the industry program at IEEE GLOBECOM 2023 feature?,"Keynotes, panels, business and industry panels, and a technological exhibit"
question_answer_v2\Author_Call For Symposium Papers.csv,What is the requirement for paper submissions to the 2023 IEEE GLOBECOM?,Only original papers that have not been published or submitted for publication elsewhere
question_answer_v2\Author_Call For Symposium Papers.csv,Which platform should papers for technical symposia be submitted through?,EDAS
question_answer_v2\Author_Call For Symposium Papers.csv,What is the final deadline for Symposium paper submissions to the 2023 IEEE GLOBECOM?,21 May 2023 (23:59 EDT)
question_answer_v2\Author_Call For Symposium Papers.csv,When will authors be notified of their Symposium paper acceptance?,1-Aug-23
question_answer_v2\Author_Call For Symposium Papers.csv,What is the deadline for accepted authors to register and submit camera-ready papers?,1-Sep-23
question_answer_v2\Author_Call For Symposium Papers.csv,Who are the organizers of the 'Mobile and Wireless Networks' symposium?,"Abdallah Shami (The University of Western Ontario, Canada), Abdel-Hamid Taha (Alfaisal University, Saudi Arabia), Miao Pan (University of Houston, USA), Zehui Xiong (Singapore Univ. of Tech. & Design, Singapore)"
question_answer_v2\Author_Call For Symposium Papers.csv,Who are the key figures in the 'Optical Networks and Systems' symposium?,"Jerzy Domzal (AGH University of Science and Technology, Poland), Nicola Andriolli (CNR, Italy)"
question_answer_v2\Author_Call For Symposium Papers.csv,What area does the 'Signal Processing for Communications' symposium focus on?,Signal Processing for Communications
question_answer_v2\Author_Call For Symposium Papers.csv,Who is leading the 'Wireless Communications' symposium?,"Valeria Loscri (INRIA Lille, France), Chris Anderson (US Naval Academy, USA), Giovanni Geraci (Univ. Pompeu Fabra (UPF), Barcelona), Moayad Aloqaily (xAnanlytics Inc., Canada), Angela Yingjun Zhang (CUHK, Hong Kong)"
question_answer_v2\Author_Call For Symposium Papers.csv,"Where is the Harbin Institute of Technology, the affiliation of Shuai Han, located?",China
question_answer_v2\Author_Call For Symposium Papers.csv,What is the main research focus of the 'Green Communication Systems and Networks' symposium?,Sustainable and energy-efficient communication technologies
question_answer_v2\Author_Call For Symposium Papers.csv,Which university is associated with Krishna Moorthy Sivalingam in the 'IoT and Sensor Networks' symposium?,"Indian Institute of Technology Madras, India"
question_answer_v2\Author_Call For Symposium Papers.csv,What is the primary area of study in the 'Mobile and Wireless Networks' symposium?,Technological advancements and challenges in mobile and wireless communication networks
question_answer_v2\Author_Call For Symposium Papers.csv,"Which country is home to the University of Electro-Communications, associated with Zhi Liu?",Japan
question_answer_v2\Author_Call For Symposium Papers.csv,What are the research interests of Melda Yuksel in the 'Communication Theory' symposium?,Theoretical foundations and applications of communication theory
question_answer_v2\Author_Call For Symposium Papers.csv,Who represents Durham University in the 'Signal Processing for Communications' symposium?,Fang (Fiona) Fang
question_answer_v2\Author_Call For Symposium Papers.csv,What is the affiliation of Giovanni Geraci in the 'Wireless Communications' symposium?,"Universitat Pompeu Fabra (UPF), Barcelona"
question_answer_v2\Author_Call For Symposium Papers.csv,Which university is associated with Angela Yingjun Zhang in the 'Wireless Communications' symposium?,"The Chinese University of Hong Kong, Hong Kong"
question_answer_v2\Author_Call For Symposium Papers.csv,Where is the symposium where issues of security in communication and information systems are discussed identified?,Communication and Information System Security
question_answer_v2\Author_Call For Symposium Papers.csv,"Which symposium addresses quality of service, reliability, and modelling in communications?","Communications QoS, Reliability and Modelling"
question_answer_v2\Author_Call For Symposium Papers.csv,Which symposium is dedicated to exploring advancements in communications software and multimedia?,Communications Software and Multimedia
question_answer_v2\Author_Call For Symposium Papers.csv,What is the symposium that deals with sustainability in communication systems and networks?,Green Communication Systems and Networks
question_answer_v2\Author_Call For Symposium Papers.csv,Which symposium is centered around Internet of Things (IoT) and sensor network technologies?,IoT and Sensor Networks
question_answer_v2\Author_Call For Symposium Papers.csv,Which symposium is focusing on mobile and wireless network innovations?,Mobile and Wireless Networks
question_answer_v2\Author_Call For Symposium Papers.csv,Which symposium delves into the future of networking and internet technologies?,Next-Generation Networking and Internet
question_answer_v2\Author_Call For Symposium Papers.csv,Which symposium specializes in optical network and system technologies?,Optical Networks and Systems
